Time,Speed,SOC,BatteryTemp,Throttle,Brake
3.97957,0,100,25,0,0
3.99855,0,100,25,0,0
4.01772,0,100,25,0,0
4.03643,0,100,25,0,0
4.05557,0,100,25,0,0
4.07432,0,100,25,0,0
4.09649,0,100,25,0,0
4.11708,0,100,25,0,0
4.13605,0,100,25,0,0
4.15455,0,100,25,0,0
4.17348,0,100,25,0,0
4.19452,0,100,25,0,0
4.21333,0,100,25,0,0
4.23222,0,100,25,0,0
4.25011,0,100,25,0,0
4.26845,0,100,25,0,0
4.28685,0,100,25,0,0
4.30437,0,100,25,0,0
4.32284,0,100,25,0,0
4.34327,0,100,25,0,0
4.3613,0,100,25,0,0
4.37972,0,100,25,0,0
4.39736,0,100,25,0,0
4.41562,0,100,25,0,0
4.43375,0,100,25,0,0
4.45207,0,100,25,0,0
4.4703,0,100,25,0,0
4.4885,0,100,25,0,0
4.50727,0,100,25,0,0
4.52775,0,100,25,0,0
4.54651,0,100,25,0,0
4.56577,0,100,25,0,0
4.58472,0,100,25,0,0
4.60348,0,100,25,0,0
4.62233,0,100,25,0,0
4.64087,0,100,25,0,0
4.66108,0,100,25,0,0
4.67979,0,100,25,0,0
4.69847,0,100,25,0,0
4.71776,0,100,25,0,0
4.73693,0,100,25,0,0
4.75561,0,100,25,0,0
4.77404,0,100,25,0,0
4.79375,0,100,25,0,0
4.81223,0,100,25,0,0
4.83102,0,100,25,0,0
4.84964,0,100,25,0,0
4.86869,0,100,25,0,0
4.88773,0,100,25,0,0
4.9067,0,100,25,0,0
4.92729,0,100,25,0,0
4.94602,0,100,25,0,0
4.96506,0,100,25,0,0
4.98332,0,100,25,0,0
5.00225,0,100,25,0,0
5.02083,0,100,25,0,0
5.03962,0,100,25,0,0
5.05949,0,100,25,0,0
5.07776,0,100,25,0,0
5.09658,0,100,25,0,0
5.11523,0,100,25,0,0
5.1338,0,100,25,0,0
5.15255,0,100,25,0,0
5.17142,0,100,25,0,0
5.19394,0,100,25,0,0
5.21269,0,100,25,0,0
5.23138,0,100,25,0,0
5.25047,0,100,25,0,0
5.26937,0,100,25,0,0
5.28835,0,100,25,0,0
5.30707,0,100,25,0,0
5.32707,0,100,25,0,0
